timestamp,​0xca82078da18f06c37472745eDa30e14B39F1DD91,​0x6c8Ae8d742C23df046162f90D8804a5a6b02E517,​0x577D96754E7dBDDc5aa9787C139DB2e8026cf4aa,​0x89D3Afde089399534aFDB7aD2D05138315Ef45FF,​0x7d2015190Aa9a2f2B8025D8798bd090ffAa1dE9A,​0xbA87BdA5c291cFf21a901CBD549172eB83bc7A12,​0x88c8dF71548168Cf50C567ECa430FFb9D12b84Ad,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xf0B33cEAfab33F5e00A86d74165e21e7b8a75fCA,​0x000000000000deab340F067535869a0e5226E58a,​0x5f617cc3Dd2724F5bb6f75d0F8907C95AbfFf0D6,​0x52a03D5d2BB8a30585dFc59904C799B27a03A56e,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x97deC872013f6B5fB443861090ad931542878126,​0x5A456DE7Fbc2E0b3Fc5a144EB4343f6385BFe9DA,​0xd9139717bE4Ab961fFa92599baE720a6Db539d64,​0xDEbC87Badcb9e1F96Bc22E2ad4688a509fc27808,​0x22F9dCF4647084d6C31b2765F6910cd85C178C18,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x5392f73B013eA80b4c5eEc3ea229388809114537,​0x592878b048316Cb98864B716c084Ea9C418d7eD9,​0xfe3d747df24b203655Ec7228AC7C133A9E8F0Cf5,​0x8a3960472B3D63894B68DF3f10F58F11828d6fd9,​0x7e88C8D56BA851ab12aa839eB908698e491F24a5,​0x00000f2D00b7a76100366C0013C2000595eE0067,​0x39FC1e41fDB0b9619Ed25BE6c5F89fAA7497DE66,​0xd4777E164c6C683E10593E08760B803D58529a8E,​0xEb5d3A91b5E721Fa251E03bda2C9578E90f30f84,​0x5Be5b30A720093C9d1B1E6CF8441280a48a495F8,​0x3D71d79C224998E608d03C5Ec9B405E7a38505F0,​0x6361d059CE1d9F49991dc7410972D3AD7B698773,​0x72B0bC97E2B7dFa0F9d376dA9fb392D871011313,​0x297289405fAF325d416658E93D93d0ade229528C,​0x000000000025D4386F7FB58984CBe110AEe3A4c4,​0xD2DdB0e1c223A873c77EE80497E9D82C1002e483,​0x5c5b40855fc364b797c1F539F7Eb39cDC94a8a91,​0x81EbA9C6dE7FCc54a10dfFFa25B8b5eCb698F5aB,​0xe26D4b951CaC5BEa4d149e01693C8C1ADE7072fB,​0xFcd12c9D27560a122048a43315B54872bCD59603,​0x00000000000017C75025D397B91D284bbE8fc7f2,​0xA9f4E25F89E960eA33Be7f7aD5699D0077d249CC,​0x78A55B9b3BBEffB36A43D9905F654d2769dC55e8,​0x6975b1689552fEE6D4e5381984a2f2A2A922f571,​0xe9519677e6ec8D2D6BFaB92A059529feA6075d37,​0x63ff52F20207b025e46e59dded090B9FedCF35A9,​0x9a3080A7c7053f5983104d1FA0Eb552CB9967D2B,​0xeF5e089fB126AA0207Dbc6ae619C9E51Eb3bAAfc,​0x0000000000000Eb4ec62758aaE93400B3E5f7f18,​0x948D95aF1Bb71456dA7236C2685B5f7A2C8373dD,​0x29654A678FBC72A1A6dEd255306C1b13bdb6C120,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x1b491528acC51F3d63b51eE143E2835Fb4772f0E,​0x248EE163064CEC75103EFB80EA0014fBCd96693f,​0x2A33Cb652Fff44B52C7C950aa7Ee1f3296dedEeE,​0x4B264e5F66a46fC705dd82B04fa975249539Dff5,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xF506828B166de88cA2EDb2A98D960aBba0D2402A,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0xc3037b2A1a9E9268025FF6d45Fe7095436446D52,​0xD79d821EF646626430995f67885904856e43eE17,​0xFd676F40F9e85c4866Db1c01E71B921a0a891b99,​0x8262938C388438d4086e0f7E17D8b367A086092F,​0x569bb831526560Bd5cFe84f2CEeeE711Bf2bC2d1,​0x0Ac0A666ECE6C5EEE85B60A6c73A66d353680B74,​0x8eCc379C8d744142aFf3Ea80cAF53E3e57779EBd,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0xF6FB09a41fa6C18cEbC1e7C6F75A8664D69e4d48,​0xd0D68bf506ccE28380DAe5aA9FB7c52913b3E2Ef,​0x81330Be4C870bf7Bf10ad53a1Bd1b487B166C0e7,​0x3a0b595bACf8f4f067d6f28A350295F39468E67e,​0xEdc20c2581F172314A261C8cDe159AcFb2e463C1,​0xF173214C720f58E03e194085B1DB28B50aCDeeaD,​0x762ed657B76372F8C08C6f7E0Aa4170658C4CA35,​0x8358Fc2Dd62c00C1a9Cd0fCB577309A4cead2471,​0x425774A57087a955D190998fb38dCAA8b1f9CB0c,​0x888EAeB2999B08E4a00ad023EBa7a13779B88201,​0xB2fEE6a96dDb41B082A24fB272C1eE6995524ccB,​0xcB36fd9bF9E6bE4BB1af8E47dbF1f0E120f08435,​0x40A7cb7052C274Cc2E568c324B4c5D94383bec4f,​0x8E949B62a177452f5B327B539eAA63802a3ab6A4,​0x5374528EB20B738F669c000Cf8B98048E665ef1d,​0x5A6fc2De011d93842411aa5f91a0a4AcD3fEfFde,​0x97c9d92326B896cf870dccb714bF0e1A9d45e2d3,​0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,​0xf9263986bE319E0444B600a73501Ef7689cDB022,​0x67dfA3252b4a02D34B66e1A0d960B48904d1FA42,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0xf443253607Dbde5bdA77C358c9b9f244D819E25C,​0x0f16a8557df61daCf3C6Be21a41a72D2a848B854,​0x556d6DA5624B2305EDaBCBff971123B225D32284,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0x5a4ECB75Fee216eF8867436B0f712c24079d256F,​0x69C4EfE68F4eaBdFAa614a8E682B1391802F4913,​0x000000000000006F6502B7F2bbaC8C30A3f67E9a,​0xF865067A5B9672f11AF8514440D9111AfD05d040,​0xE33C8e3A0d14a81F0dD7E174830089E82F65FC85,​0xda569dFdB06d72526246de8B0C44B0D9934CDcb5,​0xB7aBdcB6A334845125d94313c7255B8984deED12,​0x7ee8AB2a8d890c000acC87Bf6e22E2AD383E23CE,​0xe181cd64CdBdF34c39cE7F55f49AC069d1B94262,Other
1586635021000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1586833705000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586900049000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587033174000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587099968000,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587167698000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14
1587234387000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587300847000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587368133000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587434258000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587501138000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587568237000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587701744000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1587768625000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16
1587836062000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16
1587969951000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1588036978000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1588104246000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03
1588170340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588237076000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588305064000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12
1588438821000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588506516000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92
1588638430000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588705743000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1588771981000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10
1588839881000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17
1588906152000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,4.10,,,,,,,,,,,,,,,,,,,,0.20,,,5.02,,,,,,,,,,,,,,,,,,,,,0.47
1588972800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589040204000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589174391000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589241093000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589308656000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589375621000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589442351000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589509055000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,0.96
1589576701000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,2.40,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,0.46,,,,,,,,,,5.27,,1.37,,,,1.40
1589644333000,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,,,,,,0.33
1589711000000,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41
1589778055000,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,0.38
1589845567000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21
1589913105000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00
1589980117000,,,,,,,,,,,,,,1.39,,,1.52,,2.08,,,,,,,,,,,,,4.41,,,0.92,,,,3.49,,,,,10.99,,1.54,,,,,,0.63,6.00,,,1.20,1.08,,,,,,,,,,,0.52,,,,,,,,,,,,,9.65,,,,,,,7.35,,1.03,1.00,,,,,,,,,,,5.24
1590047677000,,,,,,,,,,,,,,,,,1.49,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,2.19,,,,,,,,,,,,,,,,,,,,,,,,1.35,,,,,,,,,,,,,,,,,,,,1.79,,1.09,,,,,,,,,,,,0.35
1590113970000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,,0.04,,,,,,,,,,,,,,,,,2.00,,,,1.67,,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,0.24
1590181994000,,,0.21,,,,,,,,0.49,,,,,,,,,,,,,,0.91,,,,2.20,,,1.53,,,,,0.72,,,,1.70,,,7.86,,,0.03,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,2.91,,,,5.68,,,0.82,,,,,,,0.62
1590248502000,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,0.41
1590316431000,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,1.37,,,,,,,,,,,,,,,,,,,,,,,,1.52,,,,,,,,,,,,,,,,,,,,1.73,,,0.76,,,,,,,,,,,
1590383553000,,,,,,,,,,,,,0.70,,,,,,,,,,,,,3.43,,,,,,,,,,,,,,,,,,2.66,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28,,,,0.91,,,0.80,,,,,,,
1590451139000,,,,,,,1.50,,,,,,,0.47,,0.10,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,1.56,,,,,,,,,,,,,0.08,,,,1.16,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,1.65,,,,0.86,,,,,,,,,,0.38
1590517845000,,,,,,,,,,,0.53,,,,,1.30,,,,,,,,,0.63,,,,0.27,,,,,,,,,,,,,,,3.84,,,0.03,,,,,,,,,,,,,,3.65,,,,,0.45,,1.06,,,,,,,,,,,0.20,,,,,,,,,1.31,,,,0.80,,,,,,,,,,1.41
1590584981000,,,,,,,,,,,,,,,,0.15,,,,,,,,,0.95,,,,1.16,,,,,,,,,,,,,,,12.91,,,,,,,,,,,,,1.95,,,,1.84,,,1.68,,,,2.03,,,,,,,,,,,,,,,,,,,,4.29,,,,3.88,,,1.85,,,,,,,2.32
1590652494000,,,,,,,,,,1.55,,,1.25,,,,,,,,,,,1.48,0.30,,,,0.19,,,,,,,,1.03,,,,,,,13.19,,,,,,,1.02,,,,,,0.64,,,,2.12,,,,,,,,,,,3.33,,,,,,,1.31,,,,,0.86,,,,5.15,,,,6.21,,,1.91,,,,1.00,,,12.05
1590719602000,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70,,,,,,,,,,,0.64,,,0.76
1590786531000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40,,,,0.48,,,,,,,,,,0.66
1590853669000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,
1590919824000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,,,,,,,,,,,,,0.26
1590987649000,,,,,,,,,,,0.60,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,1.23,,,,0.53,,,,0.38,,,,,,,,,,0.35
1591054955000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,,,0.06,,,,,,,,,,,,,,0.28,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,2.01,,,,,,,,,,,,,,0.35
1591122115000,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,0.86,,,,,,,,,,,,,,0.02
1591189759000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,0.33,,,,,,0.16,,,,,,,0.25,,,,,,,,,,,,0.35,,,,,,,,0.37,,,,,,,,,,,,,,0.23
1591256276000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,0.12
1591323776000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,0.90,,,,,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,,,,0.35,,,,,,,,,,
1591389945000,,,,,,,,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,,,,1.67,1.90,,,,,,,,,0.06
1591457899000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,0.58
1591524138000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1591590964000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,,,,,,,,,,,,0.64
1591658478000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,0.76,,,,,,,,,,,,,,
1591725334000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,0.21
1591793059000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,,,,,,,0.58
1591859571000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,,,,,,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70,,,,,,,,,0.71,,,,,,,,,,,,,,0.60
1591926628000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,0.02,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,0.24
1591993124000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10
1592060020000,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,0.17,,,,,,,,1.64,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,1.40,,,,,,,,,,,0.21,,,,,,,,,,,,,,0.60
1592126059000,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,,,,0.17,,,,,,,,,,,,,,0.06
1592193218000,,,,,,,,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,0.47
1592259061000,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,0.67,,,,,,,,0.49,,,,,,,,,,,,,,
1592326391000,,,,,,,,,,,,,,,,,,,,,,,0.40,,,,,,,,,,,,,0.38,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,,,1.08,,,,,,,,0.21,,,,,,,,,,,,,,0.01
1592393573000,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592460543000,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,0.11
1592527754000,,,,,,,,,,,,,,,,,,,,,,,0.76,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,1.32,,,,,,,,,,,,,,
1592594022000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,
1592661070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
1592727831000,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,0.20,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,0.14
1592794125000,,,,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,
1592861502000,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592927890000,,,,,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592995513000,,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593062546000,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73
1593128647000,,,,,,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,,,,,,,,,,,0.77,,,,,0.78,,,,,,,,,,,,,,,,,,,,0.81,,,,0.92,,,,,,,,,,0.38
1593195376000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,0.30,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,
